substance,count,mean,std,min,25%,50%,75%,max
Total,568.0,1193.1355633802816,1091.462041132855,14.0,588.5,916.5,1516.25,17198.0
Cannabis,136.0,1050.389705882353,666.4809204881469,65.0,596.5,941.5,1276.0,4089.0
LSD,160.0,1488.98125,1663.8876597596109,78.0,656.75,1060.5,1759.0,17198.0
MDMA,28.0,783.8928571428571,608.4197101103757,121.0,424.25,567.0,828.0,2522.0
Ketamine,14.0,645.5714285714286,293.2905396690126,206.0,397.25,660.5,839.75,1212.0
Psilocybin/Mushrooms,195.0,1176.9589743589745,751.6328674162579,178.0,627.5,941.0,1581.0,4757.0
DMT,33.0,995.939393939394,875.4762253837172,14.0,438.0,794.0,1207.0,4686.0
Mescaline/Cacti/Children,2.0,1625.5,1639.7806255716037,466.0,1045.75,1625.5,2205.25,2785.0
