substance,count,mean,std,min,25%,50%,75%,max
Total,2967.0,1078.453319851702,1152.219777855651,1.0,465.0,794.0,1351.5,24241.0
Cannabis,443.0,842.9097065462754,689.5195592569347,71.0,418.5,650.0,1087.5,6449.0
LSD,541.0,1425.7264325323474,1694.055611221526,5.0,573.0,1012.0,1755.0,24241.0
MDMA,354.0,827.0056497175141,772.99089848876,40.0,332.0,630.0,1033.0,7018.0
Ketamine,207.0,838.7101449275362,589.0442341207914,144.0,449.0,704.0,1100.5,4922.0
Psilocybin/Mushrooms,874.0,1191.8455377574371,1224.6186456208677,27.0,521.25,920.5,1530.0,22700.0
DMT,360.0,909.4111111111112,674.4183900063123,1.0,465.0,694.0,1172.5,4450.0
Mescaline/Cacti/Children,188.0,1168.1382978723404,1214.4157117224606,128.0,478.0,846.0,1465.75,11193.0
