table,count,mean,std,min,25%,50%,75%,max
Bad Trip,142.0,1120.046146659411,948.8038236914474,142.75,596.8125,938.3125,1401.53125,6805.875
First Time,514.75,1136.5771298424415,1028.155078470199,98.0,562.3125,905.625,1398.1875,13219.25
General,741.75,1035.275025039533,1001.410353536663,52.125,462.71875,781.3125,1311.96875,13151.75
Total,466.1666666666667,1097.2994338471285,992.7897518994364,97.625,540.6145833333334,875.0833333333334,1370.5625,11058.958333333334
