substance,count,mean,std,min,25%,50%,75%,max
Cannabis,269.3333333333333,971.5568638226432,725.2423618192225,79.66666666666667,506.3333333333333,807.8333333333334,1184.8333333333333,5327.666666666667
DMT,224.0,976.4764526990334,747.636776001969,46.333333333333336,477.5,761.3333333333334,1230.6666666666667,4615.666666666667
Ketamine,111.33333333333333,793.0525598978851,458.53415066786266,184.0,454.0833333333333,723.5,1030.75,2989.6666666666665
LSD,350.0,1492.1661711593022,1687.314363999835,49.0,650.5833333333334,1077.1666666666667,1803.3333333333333,21893.333333333332
MDMA,261.0,859.5621789285195,701.7176006546148,57.0,416.4166666666667,671.0,1010.6666666666666,5651.333333333333
Mescaline/Cacti/Children,109.0,1316.110576176425,1393.0305471643949,250.66666666666666,687.5833333333334,1121.8333333333333,1698.0,9381.666666666666
Psilocybin/Mushrooms,540.0,1219.943306821623,1092.143402266916,106.0,593.5833333333334,962.5,1565.1666666666667,16719.0
Total,1864.6666666666667,1149.527361271597,1136.698812620677,8.333333333333334,538.8333333333334,875.5,1441.0833333333333,21893.333333333332
